Wall time,Step,Value
1525453144.7759442,2,0.4078124761581421
1525453145.5406814,3,0.4960227310657501
1525453146.3871775,4,0.49900567531585693
1525457954.4833086,2,0.4921875
1525457955.5821426,3,0.5241477489471436
1525457956.6469269,4,0.5060369372367859
1525457957.7385285,5,0.5126748085021973
1525457958.7992551,6,0.4342142343521118
1525457959.892553,7,0.5018106698989868
1525457960.9408138,8,0.49200311303138733
1525457962.0223234,9,0.5706852674484253
1525457963.122,10,0.5275301337242126
1525457964.1886296,11,0.5366935133934021
1525457965.303979,12,0.513150155544281
1525457966.3812456,13,0.5209072232246399
1525457967.485996,14,0.49957019090652466
1525457968.5379887,15,0.5303090214729309
1525457969.6114895,16,0.5130837559700012
1525457970.6844108,17,0.5533735752105713
1525457971.7846386,18,0.572758674621582
1525457972.8376887,19,0.5172557830810547
1525457973.9295185,20,0.5619325041770935
1525457975.0742085,21,0.5669577717781067
1525457976.1655545,22,0.5749954581260681
1525457977.2845101,23,0.5577588677406311
1525457978.33608,24,0.5678813457489014
1525457979.4307544,25,0.5451068878173828
1525457980.4987893,26,0.5538469552993774
1525457981.6256063,27,0.5600898861885071
1525457982.6890342,28,0.5841299295425415
1525457983.7888558,29,0.578868567943573
1525457984.8389046,30,0.6045970916748047
1525457985.9291778,31,0.5948823690414429
1525457987.015203,32,0.5875963568687439
1525457988.098371,33,0.595806896686554
1525457989.211416,34,0.5987143516540527
1525457990.3056624,35,0.5976753234863281
1525457991.4085176,36,0.5968723893165588
1525457992.5127008,37,0.5743728876113892
1525457993.611105,38,0.5751069784164429
1525457994.6629398,39,0.5966290235519409
1525457995.7658336,40,0.6078079342842102
1525457996.834975,41,0.6052258610725403
1525457997.928433,42,0.6031602025032043
1525457998.9930842,43,0.6070142984390259
1525458000.0510128,44,0.6290575265884399
1525458001.1425228,45,0.6257151961326599
1525458002.205443,46,0.6308043599128723
1525458003.2976563,47,0.6221840977668762
1525458004.3627913,48,0.5950139164924622
1525458005.460578,49,0.592347264289856
1525458006.5280766,50,0.6046877503395081
1525458007.618599,51,0.5863349437713623
1525458008.6861818,52,0.5991659760475159
1525458009.7773297,53,0.5914509296417236
1525458010.8364015,54,0.5985891222953796
1525458011.9133902,55,0.5934335589408875
1525458012.993041,56,0.6132534742355347
1525458014.0767183,57,0.6040626168251038
1525458015.177801,58,0.6111790537834167
1525458016.2343822,59,0.6046400666236877
1525458017.332222,60,0.6114708185195923
1525458018.38508,61,0.6173115968704224
1525458019.51366,62,0.6162911653518677
1525458020.6077862,63,0.613433837890625
1525458021.7370126,64,0.6187858581542969
1525458022.8268554,65,0.6118465065956116
1525458023.939894,66,0.6039445400238037
1525458025.0671585,67,0.6027212142944336
1525458026.1700683,68,0.5998085141181946
1525458027.3153136,69,0.5881425738334656
1525458028.5438535,70,0.5851837992668152
1525458029.6578505,71,0.5808194875717163
1525458030.7353084,72,0.6016101241111755
1525458031.8770778,73,0.6146256923675537
1525458032.9887407,74,0.615764319896698
1525458034.1052241,75,0.6116829514503479
1525458035.252702,76,0.6198062300682068
1525458036.4136121,77,0.6104297041893005
1525458037.7605987,78,0.6184952259063721
1525458038.850301,79,0.6127026081085205
1525458039.980464,80,0.6219503283500671
1525458041.1147318,81,0.61277836561203
1525458042.2369525,82,0.6140005588531494
1525458043.376874,83,0.6119754910469055
1525458044.4811866,84,0.6164029240608215
1525458045.614365,85,0.6078876256942749
1525458046.7164857,86,0.6111613512039185
1525458047.8652036,87,0.6109827160835266
1525458048.9613929,88,0.6092594265937805
1525458050.1130564,89,0.6123960018157959
1525458051.23542,90,0.6214689016342163
1525458052.3408132,91,0.6249470114707947
1525458053.4689772,92,0.6280773282051086
1525458054.5891795,93,0.6230821013450623
1525458055.7328417,94,0.6217113733291626
1525458056.8237572,95,0.6173527240753174
1525458057.9580264,96,0.6165549755096436
1525458059.0864592,97,0.6158369779586792
1525458060.197497,98,0.6105032563209534
1525458061.3522835,99,0.6197654604911804
1525458062.4735909,100,0.6187264323234558
1525458063.5972478,101,0.6193537712097168
1525458064.712533,102,0.623043417930603
1525458065.8520522,103,0.6201140880584717
1525458066.9604883,104,0.6096651554107666
1525458068.088929,105,0.6158861517906189
1525458069.2142792,106,0.6167975664138794
1525458070.3117173,107,0.6207427978515625
1525458071.4432511,108,0.6196060180664062
1525458072.555278,109,0.6232703924179077
1525458073.7088983,110,0.6203183531761169
1525458074.8081388,111,0.6067240238189697
1525458075.9453163,112,0.6101140975952148
1525458077.065202,113,0.6225401759147644
1525458078.1715775,114,0.6212236285209656
1525458079.366326,115,0.6262887716293335
1525458080.4551365,116,0.6230348944664001
1525458081.5828464,117,0.6154189109802246
1525458082.682317,118,0.6101270318031311
1525458083.8144817,119,0.6100518107414246
1525458084.9057643,120,0.6193591356277466
1525458086.0526977,121,0.6167982220649719
1525458087.195506,122,0.6207433938980103
1525458088.2941382,123,0.6211690306663513
1525458089.4280174,124,0.6137396097183228
1525458090.5192997,125,0.6133031249046326
1525458091.6798604,126,0.6238478422164917
1525458092.7883437,127,0.6317755579948425
1525458093.926098,128,0.6342229843139648
1525458095.0768614,129,0.6426756978034973
1525458096.1817744,130,0.6455956101417542
1525458097.3757284,131,0.6560360789299011
1525458098.488135,132,0.6576199531555176
1525458099.6120958,133,0.6621704697608948
1525458100.720469,134,0.6662659049034119
1525458101.8403652,135,0.6637018322944641
1525458102.9415243,136,0.6567066311836243
1525458104.0928996,137,0.6535359621047974
1525458105.2186635,138,0.6491198539733887
1525458106.3190725,139,0.6576453447341919
1525458107.4589677,140,0.6575058102607727
1525458108.5780373,141,0.665192723274231
1525458109.7246397,142,0.6721109747886658
1525458110.8396292,143,0.6673998832702637
1525458112.000247,144,0.6709724068641663
1525458113.2000337,145,0.6663751602172852
1525458114.308744,146,0.6684876680374146
1525458115.4705186,147,0.682888925075531
1525458116.5882487,148,0.6849125623703003
1525458117.7240477,149,0.6757963299751282
1525458118.8328004,150,0.6785292029380798
1525458119.9617507,151,0.6747387647628784
1525458121.1045442,152,0.6650773882865906
